pic,name,type,rating,num_reviews,ranking,my_rank
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/69/ba/c6/photo0jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32432-d12416147-Reviews-Rubel_Castle-Glendora_California.html'>Rubel Castle</a>,Points of Interest & Landmarks,5.0,18.0,#252,1
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/72/1d/97/battleship-uss-iowa-bb.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2440929-Reviews-Battleship_USS_Iowa_Museum-Los_Angeles_California.html'>Battleship USS Iowa Museum</a>,Military Museums,4.5,1965.0,#26,2
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4a/de/5d/museum-of-illusions-hollywood.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d13797571-Reviews-Museum_of_Illusions-Los_Angeles_California.html'>Museum of Illusions</a>,Specialty Museums,4.0,96.0,#184,3
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ef/15/42/dscn3602-largejpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d104576-Reviews-Hollywood_Walk_of_Fame-Los_Angeles_California.html'>Hollywood Walk of Fame</a>,Points of Interest & Landmarks,3.5,17542.0,#4,4
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ab/36/27/photo0jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32648-d104802-Reviews-The_Queen_Mary-Long_Beach_California.html'>The Queen Mary</a>,Specialty Museums,4.0,3035.0,#16,5
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/2e/95/41/exhibition-detail-yayoi.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d12556852-Reviews-Marciano_Art_Foundation-Los_Angeles_California.html'>Marciano Art Foundation</a>,Art Museums,4.5,43.0,#227,6
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/1b/5b/fa/hollywood-boulevard.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d103401-Reviews-Hollywood_Boulevard-Los_Angeles_California.html'>Hollywood Boulevard</a>,Points of Interest & Landmarks,3.5,2030.0,#24,7
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/65/96/12/madame-tussauds-hollywood.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d1634265-Reviews-Madame_Tussauds_Hollywood-Los_Angeles_California.html'>Madame Tussauds Hollywood</a>,Specialty Museums,4.5,3255.0,#13,8
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/dc/49/79/chateau-marmont.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33252-d532034-Reviews-Chateau_Marmont-West_Hollywood_California.html'>Chateau Marmont</a>,Points of Interest & Landmarks,4.5,232.0,#124,9
<img class='img-responsive' src='https://s.yimg.com/ny/api/res/1.2/LOJyrHwtBtdy8sblTp0D7w--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9ODAw/http://globalfinance.zenfs.com/en_us/Finance/US_AFTP_PRNEWSWIRE_LIVE/Sony_Pictures_Entertainment_Puts_Solar-e2816946c74c332bb7686820b8e0a17f'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32272-d536313-Reviews-Sony_Pictures_Studio_Tour-Culver_City_California.html'>Sony Pictures Studio Tour</a>,Movie & TV Tours,4.0,444.0,#76,10
