50,“Just the best thing to do on a warm sunny day - coast walk”,"If you are in the city and surrounds and want a perfect walking day out here is what I recommend. Start at either Clovelly (take the 339 from the city) or Coogee (372) and walk to Bondi or Maroubra (different directions) or anywhere along the coastal route. Personally I prefer the Coogee to Bondi route as it's a good 90 minutes and there's a lot to enjoy. At Coogee you could get a lovely breakfast at any of the local cafes but if the Coogee Palace is open, go there. Wonderful! follow the walkers over the cliffs and down to Clovelly, cross Clovelly beach. Clovelly is a good spot to have a safe swim in the rock pool or the little cove there as it doesn't get affected by rips and is safe. It's a little inlet. Then walk across the cliffs up to the Waverly cemetery and cut through there and then through the cliffs down to Bronte. Cafes again. Rockpools and on the weekend a train for children. There are good bbq areas here (as with Clovelly). Then follow the cliff walk around to Bondi - you might be able to get into the Bondi Icebergs club if you are an international visitor for a drink one of the best views on the planet. Check out Bondi for lunch, I recommend the RSL club, or any on the northern side (not so much the south side) and if you have pre-booked Sean's Panorama, a great place for a lunch or dinner (check times they are open). Take water, beware of runners, make sure you are covered in sunscreen (even on a cloudy day). Even on the most humid of days in Sydney, this is a cooling and relaxing thing to do. And apart from the bus fare and food, it' free fit's f"
50,“One of Sydney's treasures”,"Walked Waverton to Woolstonecraft -great variety, fantastic views, interesting industrial sites, gorgeous gum trees, boardwalks and aboriginal art. Mostly in shade. Also zoo to Balmoral beach- great views of city and opera house and out to heads and Manly. Apparently there's a plan afoot to link all harbour walks."
50,“Indian Pacific - fantastic!”,"Every aspect of the journey from Sydney to Perth was fantastic. Very well organised, everything works to a plan and schedule, and the information given out during the journey makes it feel like a huge family is doing the holiday discovery together. You can meet new people every hour by sitting in the lounge car or you can enjoy the quiet, passing scenery and informative 'programs' run on Indian Pacific Radio in your very comfortable cabin. Bathroom and toilet are very well designed, beds are very comfortable as is the lovely long seat where you can move around. Just magnificent comfort. I was told it was good but it exceeded my expectations. Whistle stop tours are excellent also, and very informative.Meals are top class and actually too much for a small eater like myself, but just right for my husband. It was the 'trip of a lifetime' but I will be doing it again, and would like to do the Ghan as well [they say it is even better! the mind boggles]. This is train travel in luxury, comfort and with everything taken care of for you for an entire 3 days and nights. You just have to choose which tour to do and which meals to eat. I didn't want to get off when we got to Perth. Hubby loved it too. Thanks Great Southern Rail!"
50,“Hunters Hill to Woolwich walk 3.6km”,"What a way to spend a half day :-)From Circular Quay Stand C catch the 506 bus. After approx. 30 minutes alight at Gladesville Road Hunters Hill. Walk back across the main road and then just wander along the central road (well signed) through a most historic and well maintained suburb of Sydney.The homes are just picture perfect, some with historic plaques explaining in detail.The actual village of Woolwich has many places for refreshments and you can dream as you browse in the real estate windows.There are many vantage points along the way to enjoy a variety of harbor views.Catching a Circular Quay from the Woolwich wharf ours stopped off at Cockatoo Island. We hoped off as a last minute decision and spent another amazing few hours.... buts that's another review for another time."
40,“Best Planned 3 day Trip to Sydney”,"Sydney is the largest, oldest and most cosmopolitan city in Australia with a reputation as one of the world's most beautiful and liveable cities .BEST PLANNED TRIP TO SYDNEY :-Day 1:-1) Plan your trip such that you reach Sydney early in the morning of Day 1 .2) Hire a Car on rent for a Day.3) Checkin to your Hotel located near Katoomba .This place is around 75 km from Sydney towards Blue mountains .4) Visit Jenolan Caves and Blue Mountains .5) Come back for to Hotel and rest .Day 2:-6) Checkout the Hotel , Checkin at the Hotel in Sydney CBD .Return the Rented Car .7) Go to Circular Quay ,enjoy the View of Oprah House .8) Reach the Wharf/Jetty No. 3 for going to Manly Beach .The ferry reaches Manly in aprrox. 45 min .8)Enjoy a trip to Manly Aquarium and Art Meuseum near the Wharf at Manly9)Enjoy Surfing , swimming and relaxing on Manly Beach.10)Come back to the wharf and enjoy Beer and meal at ""23 bavarian bier cafe"" .Note- Donot miss Unfiltered German Wheat Beer at the Cafe11) Come back to the hotel in CBD .Freshen up and get set to the Dinner Cruise at Sydney .12)Enjoy the lighnening at Oprah HouseDay 3:-13) Checkout from your hotel .Most hotels would allow you to keep your luggage in the locker .So you can save on the rent for day 3 , if you want.14) You have series of activities to do on Darling harbour .What you should not miss :-1) Sydney Jet Boat Ride - An adventurous jet boat ride - 1 hour2) Whale watching Trip : 3 hours .3) Madame Tussaud Museum : 2 hours4) Sydney Eye5) World Largest I-MAXNote - You can choose between famous Bondi Beach or Manly Beach .Each Trip either Bondi or Manly would take half a Day .If you want to cover Bondi as well . you can adjust between the activities of Day 2 and Day 3 tohelp your planning well ."
50,“Travelling in Sydney”,"I have recently returned from Sydney and on previous trips found the cost of getting from the Airport into the city to be quite expensive. This time however, I managed the trip for $5.50.On walking out of the terminal, walk under the carpark opposite and access the Bus Stop for the 400 Bondi bus service. One stop on the bus brings you to within a short walk of the Mascot Railway Station and the trip from Mascot into the city is at normal prices. The return trip is exactly the same in reverse, picking up the 400 Burwood bus on the opposite side of the road to where it stopped on the way from the airport. This bus runs half-hourly and stops at the Domestic terminal.I had carry-on luggage only and it was no problem to use a normal bus, if large pieces of luggage were involved it could be more difficult to use normal buses.My hotel was near Central Station and in George Street there are stops on both sides for the 555 Free city circle bus which travels to Circular Quay and back every 10 minutes between 9 am and 3.30pm weekdays and until later on Thursdays."
50,“Diverse Sydney culture”,"My husband and I spent 3 weeks in the Liverpool/Sydney areas of Australia. We were lucky enough to stay with a family in their lovely home, and traveled by subway into Sydney on occasion. We were taken to the Blue Mountains, to the ocean, and to Sydney:)Interesting how the air smells like eucalyptus in the country:) In the city, we were warned to keep strictly to our own business - and out of certain cultural areas completely. Our host family, though with a lovely ranch home, has an 8-foot brick wall surrounding their back yard, and a huge watchdog to maintain security. Even while bringing in groceries, they set their security alarm between each armload!!! These extra security measures struck us as extreme until we learned that Australia has outlawed guns (so basically the only people who have them are the criminals!!!) So they are very much on the defensive. Unfortunately.The food we had was FANTASTIC - it seems food is very important to the Aussies:) Just FANTASTIC - everything from fresh seafood to fresh fruits to fresh veggies and strong Italian coffee - the prawns (shrimp) were HUGE!!! No wonder they love to ""put 'em on the barbie!"" We were there in August - which is the peak of their ""winter"" - because everything is backwards in the lower hemisphere. Never got below 50 degrees F - which was just fine with us:)We had a wonderful time in Liverpool/Sydney, and would come for much longer had we the money/choice!!! Australia is basically the size of the entire United States, so plan enough time to see what you really want to see!"
50,“Syney - agreat destination”,"We recently has a long weekend in Sydney - fantastic. We went on a ferry on the harbour, saw a show, took a long walk in an historic suburb, did some shopping and toured the Opera House. It was all great."
50,“Down Under........ Worth the Long Flight!”,"Loved the City of Sydney and outlying areas. Great City, very clean, beautiful harbours and night life. Great restaraunts, including Jordans and Blackbird. Loved the Opera House and The Rocks. Lots of vegetation throughout the city making less of a concrete jungle. Skyskrapers nesteld within a forest and next to tons of beaches! Manly and Bondi are my favorites. Some great places to check out outside of the City are Botany Bay for historical sights and Cronulla/Caringbah very nice place outside the city for suburban coziness. Just a 40 min drive into the city."
30,“Very Expensive City”,"Sydney is a very expensive city to visit. A cheap hotel room in Potts point was $130 Aus, a Diet Coke was $4, transport around the city was expensive, and the exchange rate for the American dollar is terrible. Although the sights in Sydney were impressive, we much preferred Cairns and the things we could do there. If we go back to Australia, we will rent a car and spend most of our time outside the major metro areas."
