50,The Adventure Buddies goes to Hermosa Beach Pier,,,https://www.tripadvisor.com/Profile/theadventurebuddies
50,Lovely view,,,https://www.tripadvisor.com/Profile/Madefromcarbon
40,you can see for miles,,,https://www.tripadvisor.com/Profile/gaz1lea
50,Lovely beach and pier.,,,https://www.tripadvisor.com/Profile/Keytothekingdom
50,Beautiful beach with an amazing pier at Hermosa beach,,,https://www.tripadvisor.com/Profile/726judyg
50,Beautiful views,,,https://www.tripadvisor.com/Profile/384mattiej
50,It's always fun to walk a pier. Only better if you're fishing.,,,https://www.tripadvisor.com/Profile/Fish-Fun-Seaker
50,"Clean, friendly pier",,,https://www.tripadvisor.com/Profile/jillm236
40,Very nice,,,https://www.tripadvisor.com/Profile/W8153FGdavidg
10,Exorbitant parking fines,,,https://www.tripadvisor.com/Profile/merryl8
40,Volleyball and sports haven,,,https://www.tripadvisor.com/Profile/runnermaryc
50,nice in the AM,,,https://www.tripadvisor.com/Profile/DaveCalgary
50,Beautiful,,,https://www.tripadvisor.com/Profile/jenniferfB4013UC
40,Adventurebuddies42 goes to Hermosa Pier,,,https://www.tripadvisor.com/Profile/theadventurebuddies
30,Nice to see,,,https://www.tripadvisor.com/Profile/Meema21
40,"Such a pleasant, tidy pier! So enjoyed the view, the air, the mixture of people.",,,https://www.tripadvisor.com/Profile/622marilyns
50,Nice view,,,https://www.tripadvisor.com/Profile/sharonroshell
50,Bucket list trip,,,https://www.tripadvisor.com/Profile/CarolineH549
50,Tranquil Stroll,,,https://www.tripadvisor.com/Profile/mercedesv714
30,Went to get some sun,,,https://www.tripadvisor.com/Profile/markgE3794HW
50,Beautiful pier and beach and accessible area for the Summer concert series!,,,https://www.tripadvisor.com/Profile/SueAx57
50,Loved it!,,,https://www.tripadvisor.com/Profile/rpshad
30,"Its a pier, not much more to say.",,,https://www.tripadvisor.com/Profile/davidsD5900YG
50,The Pier. The Shops. The Foo,,,https://www.tripadvisor.com/Profile/GypsySoul60
40,Visit to Hermosa Beach,,,https://www.tripadvisor.com/Profile/61leslien
40,Mommy and mini beach day,,,https://www.tripadvisor.com/Profile/iamLydiaElle
50,Vacation,,,https://www.tripadvisor.com/Profile/Deputy934
40,Long Pier for Nice View,,,https://www.tripadvisor.com/Profile/Pfitzgerald1946
50,Lots to do,,,https://www.tripadvisor.com/Profile/snookerddle
40,Great views and local fare,,,https://www.tripadvisor.com/Profile/Aldmintz
50,Nice beach area,,,https://www.tripadvisor.com/Profile/travelmaven_7
40,Nice peer during June gloom,,,https://www.tripadvisor.com/Profile/joshuaelee
50,Fun (in the sun) continues after sundown!,,,https://www.tripadvisor.com/Profile/Maps22568951247
50,Nicest Walk at Hermosa Pier,,,https://www.tripadvisor.com/Profile/michael_b_lse
50,Beautiful walk along the pier,,,https://www.tripadvisor.com/Profile/kimberlyayersrdcs
40,Lovely pier area,,,https://www.tripadvisor.com/Profile/angier931
40,"Nice view, it was windy on our visit",,,https://www.tripadvisor.com/Profile/fdajnowicz
